variance,maximum,det
0.00439528,1.181134375,sharp
0.004409248,1.324347365,sharp
0.003702419,0.592831251,sharp
0.013654082,1.280449505,sharp
0.01941683,1.602918115,sharp
0.001834322,0.752884511,sharp
0.005316502,1.125910585,sharp
0.001728528,0.748526318,sharp
0.002419531,0.764392949,sharp
0.004177476,1.104974781,sharp
0.010324524,1.091755183,sharp
0.006343749,1.10073731,sharp
0.014415103,1.654194333,sharp
0.011605984,1.297278635,sharp
0.009987933,1.328324298,sharp
0.015565847,1.377430578,sharp
0.002123428,1.308640187,sharp
0.032005906,1.857323726,sharp
0.001656526,0.663942084,sharp
0.009667622,1.568466879,sharp
0.00542808,1.219967619,sharp
0.002857764,1.046952008,sharp
0.006269495,1.081634403,sharp
0.024549475,1.671849192,sharp
0.02429264,1.691156039,sharp
0.033647806,1.334808243,sharp
0.009867673,1.064904253,sharp
0.020283897,1.044049919,sharp
0.002763363,0.93357728,sharp
0.014175268,1.713111754,sharp
0.002258083,1.116109621,sharp
0.007864216,0.90637206,sharp
0.046620309,1.107859627,sharp
0.050062418,2.143888368,sharp
0.002093053,1.085858452,sharp
0.005069855,1.229366185,sharp
0.002055505,1.008095235,sharp
0.006955515,0.774151522,sharp
0.004034894,0.816999789,sharp
0.003263478,1.108019489,sharp
0.007184211,1.336043725,sharp
0.004132919,0.64124612,sharp
0.004455837,0.709307432,sharp
0.00820192,0.988772782,sharp
0.003352397,1.328827809,sharp
0.003792559,0.843554758,sharp
0.00477086,0.983082696,sharp
0.005141589,1.317960236,sharp
0.001156437,0.839522546,sharp
0.01240473,1.471837601,sharp
0.003092126,1.224225637,sharp
0.037670129,1.485083804,sharp
0.005316572,1.189807918,sharp
0.001505554,1.080021206,sharp
0.000757399,0.605616071,sharp
0.006102345,1.323911341,sharp
0.003035732,0.52148337,sharp
0.003590262,1.053470708,sharp
0.006654008,1.139421798,sharp
0.006508696,1.230498892,sharp
0.006162051,1.120136994,sharp
0.050083595,1.175737335,sharp
0.017515215,1.66220462,sharp
0.004528168,1.144844107,sharp
0.004758997,1.432963391,sharp
0.005425402,0.747370563,sharp
0.00534988,0.773606955,sharp
0.002458411,0.784980975,sharp
0.003178443,1.890579723,sharp
0.007368068,1.001654696,sharp
0.00614995,0.873312744,sharp
0.007513696,0.934432046,sharp
0.004232621,0.897764896,sharp
0.005679333,1.108261037,sharp
0.008995364,1.011753217,sharp
0.004698218,1.081954892,sharp
0.00439139,0.880040758,sharp
0.002400498,0.827837723,sharp
0.005060623,0.934089752,sharp
0.004297469,1.040730429,sharp
0.002948233,0.963792951,sharp
0.002744856,0.764276625,sharp
0.012504473,1.588795068,sharp
0.007062586,0.942887987,sharp
0.08164609,1.439103095,sharp
0.003153838,0.898744846,sharp
0.016696806,1.225740706,sharp
0.005375432,1.130252786,sharp
0.004229103,0.862724183,sharp
0.00841072,1.634515741,sharp
0.010675586,1.070479182,sharp
0.01544168,1.204063955,sharp
0.008055552,1.601890793,sharp
0.004974236,1.226803317,sharp
0.00217308,0.575981622,sharp
0.006648936,2.021372245,sharp
0.003636076,0.634503621,sharp
0.048411789,1.698891322,sharp
0.009797896,1.27155609,sharp
0.007015709,0.911935663,sharp
0.001272141,1.381355151,sharp
0.006032794,1.183856355,sharp
0.01641093,1.401646045,sharp
0.004063787,1.106352987,sharp
0.003730559,0.979264476,sharp
0.001111572,1.068295047,sharp
0.002239869,0.911639101,sharp
0.022640315,2.244823153,sharp
0.007981528,1.088044199,sharp
0.011328029,0.930807293,sharp
0.004728264,1.099735881,sharp
0.005851328,1.420411668,sharp
0.001095416,0.885707045,sharp
0.023384544,1.616616651,sharp
0.002986903,0.912394964,sharp
0.004788897,1.065441851,sharp
0.001348762,0.800980383,sharp
0.00535279,0.759584865,sharp
0.004546196,1.073184921,sharp
0.000760844,1.08517691,sharp
0.006563926,1.530881772,sharp
0.003841671,1.183983981,sharp
0.001527248,0.525594709,sharp
0.01099283,1.396733375,sharp
0.008314075,1.283333453,sharp
0.03912388,1.404033042,sharp
0.002757788,1.203124964,sharp
0.004316926,0.823383378,sharp
0.007299556,0.685908763,sharp
0.009371101,0.691925812,sharp
0.004076086,0.77701389,sharp
0.023012778,1.234057355,sharp
0.012982466,0.844638878,sharp
0.016774108,0.775794789,sharp
0.015752117,2.146758261,sharp
0.011624719,1.512716299,sharp
0.018930821,1.704880559,sharp
0.014082216,1.416372705,sharp
0.004625266,1.100974806,sharp
0.006137641,1.40774042,sharp
0.003084208,0.811863289,sharp
0.002724179,1.096914278,sharp
0.003812054,0.918961812,sharp
0.003873758,1.027416575,sharp
0.006692,1.0481065,sharp
0.006941671,1.2868007,sharp
0.002246447,0.806895316,sharp
0.019802943,0.914593204,sharp
0.008766474,1.168248293,sharp
0.003619317,0.645272746,sharp
0.000951511,0.707148414,sharp
0.006895234,1.792073185,sharp
0.003892552,0.931024662,sharp
0.013823377,1.752524651,sharp
0.004830923,1.38239479,sharp
0.005011204,0.987291006,sharp
0.005193241,0.833827193,sharp
0.018405708,1.846298039,sharp
0.003204276,1.354665842,sharp
